kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9214942,K01403.01,Kepler-833 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,18.75470238,5.267e-05,-5.267e-05,141.7172,0.00226,-0.00226,0.034,0.432,-0.034,3.0331,0.0764,-0.0764,995.3,34.4,-34.4,1.67,0.13,-0.18,382.0,,,5.03,1.8,-1.69,33.2,1.0,q1_q17_dr25_tce,3976.0,159.0,-177.0,4.721,0.054,-0.041,0.54,0.042,-0.058,290.47995,45.6007,15.473
9216231,K05641.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,616.34132,0.01531,-0.01531,154.168,0.0193,-0.0193,0.28,0.1792,-0.2799,12.724,0.753,-0.753,1287.0,136.0,-136.0,2.11,0.17,-0.26,131.0,,,0.07,0.02,-0.02,12.5,1.0,q1_q16_tce,4197.0,120.0,-138.0,4.659,0.07,-0.03,0.588,0.049,-0.07,291.03244,45.64106,15.894
9216775,K04513.01,Kepler-1612 b,CONFIRMED,CANDIDATE,0.872,0,0,0,0,3.91794676,2.674e-05,-2.674e-05,132.86384,0.00497,-0.00497,0.337,0.126,-0.337,2.549,0.163,-0.163,116.5,10.1,-10.1,0.94,0.11,-0.04,1030.0,,,266.81,86.69,-35.37,13.5,1.0,q1_q17_dr25_tce,5500.0,74.0,-82.0,4.547,0.019,-0.11,0.87,0.105,-0.035,291.25027,45.655071,14.75
9216810,K08179.01,,FALSE POSITIVE,FALSE POSITIVE,0.207,1,0,0,0,138.62902498,,,235.3730333,,,,,,4.93,,,,,,,,,,,,,,,,2.0,q1_q17_dr25_tce,,,,,,,,,,291.26102,45.63747,10.555
9217583,K05642.01,,CANDIDATE,CANDIDATE,,0,0,0,0,222.28056,0.004831,-0.004831,131.8546,0.0173,-0.0173,0.2151,0.2405,-0.2151,3.035,0.735,-0.735,271.9,49.7,-49.7,2.56,1.5,-0.61,405.0,,,6.37,11.33,-3.11,8.0,1.0,q1_q16_tce,6543.0,161.0,-201.0,4.17,0.171,-0.322,1.531,0.9,-0.365,291.57455,45.618389,12.401
9220612,K04059.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,0.979161676,7.395e-06,-7.395e-06,132.21831,0.00593,-0.00593,0.634,0.299,-0.411,2.942,0.326,-0.326,160.2,10.7,-10.7,1.03,0.19,-0.08,1548.0,,,1357.43,777.75,-334.21,20.2,1.0,q1_q17_dr25_tce,5390.0,159.0,-159.0,4.591,0.03,-0.12,0.78,0.143,-0.061,292.79333,45.628262,15.278
9220614,K05643.01,,CANDIDATE,CANDIDATE,,0,0,0,0,570.01886,0.01442,-0.01442,375.0523,0.0175,-0.0175,0.1946,0.2543,-0.1942,3.52,0.616,-0.616,428.5,82.9,-82.9,1.62,0.44,-0.12,190.0,,,0.31,0.25,-0.07,6.8,1.0,q1_q16_tce,5496.0,151.0,-143.0,4.579,0.029,-0.172,0.79,0.215,-0.06,292.79358,45.687859,14.441
9221398,K06066.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,13.787520532,4.91e-07,-4.91e-07,136.762097,2.87e-05,-2.87e-05,0.99,0.102,-0.033,2.55435,0.00192,-0.00192,12978.0,3.3,-3.3,25.33,4.26,-2.3,921.0,,,170.01,72.38,-37.12,2126.1,1.0,q1_q17_dr25_tce,6399.0,70.0,-89.0,4.312,0.056,-0.112,1.289,0.217,-0.117,293.09286,45.691841,12.14
9221517,K02281.01,Kepler-1173 b,CONFIRMED,CANDIDATE,0.995,0,0,0,0,0.769854899,1.243e-06,-1.243e-06,132.51944,0.00126,-0.00126,0.705,0.24,-0.494,1.0243,0.0449,-0.0449,109.6,4.9,-4.9,0.93,0.12,-0.07,1650.0,,,1756.8,768.41,-413.59,28.7,1.0,q1_q17_dr25_tce,5173.0,155.0,-139.0,4.55,0.039,-0.091,0.822,0.107,-0.063,293.1311,45.663551,13.829
9221517,K02281.02,,CANDIDATE,CANDIDATE,,0,0,0,0,455.27405,0.05654,-0.05654,367.95,0.0144,-0.0144,0.2429,0.3335,-0.2428,2.4,1.1,-1.1,366.0,122.0,-122.0,1.54,0.34,-0.11,196.0,,,0.35,0.25,-0.08,4.5,2.0,q1_q16_tce,5178.0,172.0,-136.0,4.556,0.028,-0.149,0.818,0.186,-0.056,293.1311,45.663551,13.829
